Company,Category,Theme,Tactic_ID,Tactic_Name,Score,Confidence,Evidence,Source
Aviva,Competitor,Ease of Use,1,Clear navigation and findability,5,High,"Hierarchical navigation with breadcrumbs, skip-to-content feature, clear product categories (Insurance, Investments, Retirement, Health). Which? survey: 79% customer satisfaction, rated 1st of 25 providers.",Which?; vanguardinvestor.co.uk
Aviva,Competitor,Ease of Use,2,Single workspace for key tasks,3,Medium,"MyAviva app consolidates insurance and investments. However users report 'confusing between aviva policy site and aviva investment site and no internal connection between the two'.",Smart Money People; Trustpilot
Aviva,Competitor,Ease of Use,3,Progressive disclosure (simple → advanced),5,High,"Clear tiering: Universal Retirement Fund (automated) → Ready-made funds (4 risk levels) → Experts' Shortlist → Self-select (5000+ funds) → Direct shares/ETFs. Designed for 'beginner all the way to seasoned investor'.",aviva.co.uk
Aviva,Competitor,Ease of Use,4,Smart defaults and pre-filling,3,Medium,"Universal Retirement Fund auto-adjusts by retirement date. Ready-made funds as default options. Risk profiler tool suggests appropriate level.",aviva.co.uk
Aviva,Competitor,Ease of Use,5,Low-click flows for common tasks,3,Medium,"Website described as 'straightforward when investing money in ISA' with 'clear options'. Some users report app freezing and login issues after updates.",Smart Money People; Google Play
Aviva,Competitor,Ease of Use,6,Templates for repetitive work,3,Medium,"Ready-made portfolios serve as investment templates. Regular investment setup available. No evidence of broader workflow templates.",aviva.co.uk
Aviva,Competitor,Ease of Use,7,Inline validation and helpful constraints,1,Low,"No specific evidence found in public materials or reviews mentioning form validation or error prevention.",Extensive search conducted
Aviva,Competitor,Ease of Use,8,Contextual help (tooltips videos),3,High,"Investment calculators with guidance. FAQ-style articles. However no video tutorials prominently featured.",aviva.co.uk
Aviva,Competitor,Ease of Use,9,Drafts and autosave,1,Low,"No evidence of draft saving functionality in reviews or app descriptions.",Extensive search conducted
Aviva,Competitor,Ease of Use,10,Undo/redo capabilities,1,Low,"No evidence found. Investment platforms typically have limited undo due to trade execution requirements.",Extensive search conducted
Aviva,Competitor,Ease of Use,11,Keyboard shortcuts,1,Low,"No evidence of keyboard shortcuts mentioned in any reviews or documentation.",Extensive search conducted
Aviva,Competitor,Ease of Use,12,Robust search with filters,3,Medium,"Access to 6900+ funds with selection tools. Experts' Shortlist provides curated filtering. Basic search functionality.",aviva.co.uk
Aviva,Competitor,Ease of Use,13,Bulk actions,1,Low,"No evidence of bulk trading or management features in consumer platform.",Extensive search conducted
Aviva,Competitor,Ease of Use,14,Saved workflows,3,Medium,"Regular investment setup can be saved. Monthly contribution schedules persist.",aviva.co.uk
Aviva,Competitor,Ease of Use,15,Fast feedback on actions,3,Medium,"24/7 online platform access. No specific complaints about slow UI. Some app performance issues reported.",Trustpilot; Google Play
Aviva,Competitor,Ease of Use,16,Reliable performance at scale,3,Medium,"Award-winning platform serves large customer base. Some recent app issues reported (freezing, login errors).",Google Play reviews
Aviva,Competitor,Ease of Use,17,Works on poor connections,1,Low,"No evidence of offline mode or low-bandwidth optimization.",Extensive search conducted
Aviva,Competitor,Ease of Use,18,Strong WCAG support,3,Medium,"Skip-to-content feature present. Visually hidden link text for screen readers. No comprehensive WCAG statement found.",aviva.co.uk inspection
Aviva,Competitor,Ease of Use,19,Security without burden (MFA SSO),5,High,"Facial recognition and fingerprint login for quick secure access. FCA regulated. Users praise 'very safe and secure' experience.",Google Play; Trustpilot
Aviva,Competitor,Ease of Use,20,Consistent across devices,3,Medium,"Web platform and MyAviva app available. App functional but some users report disconnect between policy and investment sites.",Smart Money People; Trustpilot
Aviva,Competitor,Emotional Design,21,Clean calm design with clear hierarchy,3,Medium,"Pattern-based design with icon systems. Professional appearance. No specific praise for visual design in reviews.",aviva.co.uk
Aviva,Competitor,Emotional Design,22,Gentle purposeful animation,1,Low,"No evidence of notable animations or micro-interactions mentioned.",Extensive search conducted
Aviva,Competitor,Emotional Design,23,Dark mode / theme controls,1,Low,"No evidence of dark mode or theme customization options.",Extensive search conducted
Aviva,Competitor,Emotional Design,24,Friendly human language,3,Medium,"Customer service praised as 'comforting, easiest and compassionate'. Website content professional but not notably warm.",Trustpilot
Aviva,Competitor,Emotional Design,25,Avoids blame in errors,1,Low,"No specific evidence of error messaging tone.",Extensive search conducted
Aviva,Competitor,Emotional Design,26,Supportive service interactions,5,High,"Customer service highly praised: 'most comforting, easiest and compassionate experience'. Helpful staff highlighted repeatedly.",Trustpilot
Aviva,Competitor,Emotional Design,27,Visual celebration of progress,1,Low,"No evidence of progress celebrations or gamification elements.",Extensive search conducted
Aviva,Competitor,Emotional Design,28,Clear sense of completion,3,Medium,"Investment calculators show projected outcomes. Account setup has defined steps.",aviva.co.uk
Aviva,Competitor,Emotional Design,29,Onboarding that builds confidence,3,Medium,"Staff provide walkthroughs: 'so incredibly helpful in talking me through how to open a stocks and shares ISA'. Guidance available.",Trustpilot
