Tactic ID,Category,Tactic,Score,Confidence,Evidence,Source
1,Core Flow,Clear navigation and findability,5,High,"Website praised for clarity and simplicity. Users describe it as 'easy to navigate' and 'user-friendly'. Clear pathways for ISAs, Pensions, General Accounts. 'Everything is made very simple.'",Trustpilot reviews; vanguardinvestor.co.uk
2,Core Flow,Single workspace for key tasks,3,High,"Dashboard shows balances across ISA, SIPP, General Account, Junior ISA. App displays linked accounts and 'whole picture'. However, limited tools within single view.",App Store listing; Trustpilot
3,Core Flow,Progressive disclosure (simple → advanced),5,High,"Clear tiering: 'Ready-made portfolios' for beginners vs 85+ funds for self-directed investors. Managed service handles rebalancing for those who want hands-off approach.",vanguardinvestor.co.uk
4,Core Flow,Smart defaults and pre-filling,3,Medium,"Ready-made portfolios serve as smart defaults. Monthly payment setup available. However, no evidence of pre-filled forms or intelligent suggestions based on user data.",App Store; platform reviews
5,Core Flow,Low-click flows for common tasks,3,Medium,"'Opening an account takes just 10 minutes'. However, some US reviews mention 'simple tasks like transferring money taking too many steps'. UK reviews more positive.",Trustpilot; NerdWallet
6,Core Flow,Templates for repetitive work,3,Medium,"Monthly investment payments can be configured. Regular investment setup exists. No evidence of broader templates for other workflows.",App features; user reviews
7,Error Prevention,Inline validation and helpful constraints,1,Low,"No specific evidence found in public materials or reviews mentioning validation, error prevention, or form constraints.",Extensive search conducted
8,Error Prevention,Contextual help (tooltips videos),3,High,"Chatbot available on website. Help articles section. Live chat with 'instant' connection praised. Customer service walks through processes. No video tutorials mentioned.",Trustpilot; vanguardinvestor.co.uk
9,Error Prevention,Drafts and autosave,1,Low,"No evidence of draft saving or autosave functionality mentioned in any reviews or app descriptions.",Extensive search conducted
10,Error Prevention,Undo/redo capabilities,1,Low,"No evidence found. Investment platforms typically have limited undo due to regulatory requirements around trade execution.",Extensive search conducted
11,Power Users,Keyboard shortcuts,1,Low,"No evidence of keyboard shortcuts in web platform or app. Platform described as 'intentionally simple' - power user features not prioritized.",Platform reviews; BrokerChooser
12,Power Users,Robust search with filters,3,Medium,"Fund selection tools exist with 85+ funds available. Users request 'research tools for fund comparison' suggesting current search is basic.",App Store reviews; platform description
13,Power Users,Bulk actions,1,Low,"No evidence of bulk trading or bulk management features. Platform focused on long-term passive investors not active traders.",Platform reviews
14,Power Users,Saved workflows,3,Medium,"Monthly payment setup saves recurring investment preferences. Transfer status tracking available. Limited workflow customization beyond this.",App Store listing
15,Performance,Fast feedback on actions,3,Medium,"'Instantly connected via Live Chat'. Secure messages answered 'within an hour or so'. No specific feedback on transaction speed or UI responsiveness.",Trustpilot reviews
16,Performance,Reliable performance at scale,3,Medium,"No widespread complaints about downtime or performance issues in reviews. Platform handles 4000+ reviews worth of users. Some login errors reported recently.",Trustpilot; App Store
17,Performance,Works on poor connections,1,Low,"No evidence found. App is 26.5 MB which is moderate. No offline mode or low-bandwidth features mentioned.",App Store technical specs
18,Accessibility,Strong WCAG support,1,Low,"App Store explicitly states: 'The developer has not provided information about accessibility features.' No WCAG compliance mentioned on website.",App Store listing
19,Accessibility,Security without burden (MFA SSO),5,High,"Biometric login (Face ID/Touch ID) praised. FCA regulated. Users appreciate security without complexity. 'Low cost with access to all information' suggests transparency.",App Store; Trustpilot; vanguardinvestor.co.uk
20,Accessibility,Consistent across devices,3,Medium,"Web platform and iOS app available. App described as 'functional but extremely basic' and 'work in progress'. Cannot open account in app - must use website. No Android mentioned.",BrokerChooser; App Store reviews
